번호,지역,도서관명,주소,운영상태,홈페이지
440,서울,서울 동작구김영삼도서관,서울특별시 동작구 매봉로 1 ,시행중 ,http://lib.dongjak.go.kr 
439,서울,서울 양천구방아다리문학도서관,서울특별시 양천구 화곡로4길 10 ,시행중 ,http://www.yangcheon.go.kr/lib/libmain/main.do 
438,서울,서울 성동구립매봉산숲속도서관,서울특별시 성동구 매봉길 49-29 ,시행중 ,https://www.sdlib.or.kr/CG 
437,서울,서울 강동구립둔촌도서관,서울특별시 강동구 동남로49길 21-8 ,시행중 ,http://www.gdlibrary.or.kr 
436,서울,서울 용답동어린이작은도서관,서울특별시 성동구 용답중앙23길20 ,시행중 ,https://www.sdlib.or.kr/small 
435,서울,"서울 금호2,3가동어린이작은도서관",서울특별시 성동구 무수막길18길1 ,시행중 ,https://www.sdlib.or.kr/small 
434,서울,서울 사근동어린이놀이터도서관,서울특별시 성동구 사근동길 37 사근동 공공복합청사 지하1층 ,시행중 ,https://www.sdlib.or.kr/small 
433,서울,서울 강동늘솔길작은도서관,"서울특별시 강동구 양재대로156길 123, 5층 늘솔길작은도서관 (고덕동) ",시행중 ,http://www.gdlibrary.or.kr/small 
432,서울,서울 강동게냇골작은도서관,"서울특별시 강동구 고덕로80길 111, 1층 (상일동) ",시행중 ,http://www.gdlibrary.or.kr/small 
431,서울,서울 강동책꾸러미작은도서관,"서울특별시 강동구 상암로 260, 2층 (명일동) ",시행중 ,http://www.gdlibrary.or.kr/small 
430,서울,서울 왕십리도선동희망문고,"서울특별시 성동구 마장로 141, 왕십리도선동공공복합청사 2층(상왕십리동) ",시행중 ,https://www.sdlib.or.kr/small 
429,서울,서울 서대문구논골작은도서관,"서울특별시 서대문구 연희로41가길 33, 청년미래공동체주택 101동 1층 ",시행중 , 
428,서울,서울 구로구구로5동새마을작은도서관,서울특별시 구로구 구로중앙로28길 66 ,시행중 ,http://lib.guro.go.kr/ 
427,서울,서울 구로구서서울생활과학고등학교,서울특별시 구로구 오리로 1355-10 ,시행중 ,http://lib.guro.go.kr/ 
426,서울,서울 구로구고척1동새마을작은도서관,서울특별시 구로구 중앙로3길 18-8 ,시행중 ,http://lib.guro.go.kr/ 
425,서울,서울 답십리1동작은도서관,서울특별시 동대문구 사가정로 30 답십리1동 주민센터 3층 ,시행중 , 
424,서울,서울 송정동늘푸른작은도서관,서울특별시 성동구 송정14길19 ,시행중 ,https://www.sdlib.or.kr/small 
423,서울,서울 성수2가제3동작은도서관,서울특별시 성동구 광나루로2길35 ,시행중 ,https://www.sdlib.or.kr/small 
422,서울,서울 성수2가제1동어린이작은도서관,서울특별시 성동구 뚝섬로 385-19 ,시행중 ,https://www.sdlib.or.kr/small 
421,서울,서울 성수1가제2동어린이작은도서관,서울특별시 성동구 성수 1가 제2동 공공 복합청사 지하1층 ,시행중 ,https://www.sdlib.or.kr/small 
420,서울,서울 성수1가제1동작은도서관,서울특별시 성동구 뚝섬로 3길 18 ,시행중 ,https://www.sdlib.or.kr/small 
419,서울,서울 성동구옥수동북카페,서울특별시 성동구 독서당로 205-1 ,시행중 ,https://www.sdlib.or.kr/small 
418,서울,서울 금호4가동어린이작은도서관,서울특별시 성동구 독서당로 46길 26 ,시행중 ,https://www.sdlib.or.kr/small 
417,서울,서울 금호1가동북카페책단지꿀단지,서울특별시 성동구 독서당로 424 ,시행중 ,https://www.sdlib.or.kr/small 
416,서울,서울 응봉동작은도서관,서울특별시 성동구 독서당로 442 ,시행중 ,https://www.sdlib.or.kr/small 
415,서울,서울 행당제2동어린이작은도서관,서울특별시 성동구 행당로9길9 ,시행중 ,https://www.sdlib.or.kr/small 
414,서울,서울 마장동작은도서관,서울특별시 성동구 마장로42길11 ,시행중 ,https://www.sdlib.or.kr/small 
413,서울,서울 왕십리제2동작은도서관,서울특별시 성동구 무학봉길69 ,시행중 ,https://www.sdlib.or.kr/small 
412,서울,서울 성동구립청계도서관,서울특별시 성동구 마장로 141 ,시행중 ,https://www.sdlib.or.kr/CG 
411,서울,서울 성동구립성수도서관,서울특별시 성동구 뚝섬로1길 43(성수동) ,시행중 ,https://www.sdlib.or.kr/SS 
410,서울,서울 성동구립무지개도서관,서울특별시 성동구 고산자로 270(행당동) ,시행중 ,https://www.sdlib.or.kr/RB 
409,서울,서울 성동구립용답도서관,서울특별시 성동구 용답중앙3길 10(용답동) ,시행중 ,https://www.sdlib.or.kr/YD 
408,서울,서울 성동구립금호도서관,서울특별시 성동구 난계로 20(금호동) ,시행중 ,https://www.sdlib.or.kr/KH 
407,서울,서울 성동구립도서관,서울특별시 성동구 고산자로10길 9(행당동) ,시행중 ,https://www.sdlib.or.kr/SD 
406,서울,서울 용산구청소년푸르미르작은도서관,서울특별시 용산구 이촌로71길24(총소년수련관) 5층 ,시행중 ,http://lib.yongsan.go.kr/ 
405,서울,서울 영등포제1스포츠센터작은도서관,서울특별시 영등포구 신풍로 1 ,시행중 , 
404,서울,서울 장안꿈마루어린이작은도서관,서울특별시 동대문구 한천로28길 5 ,시행중 ,https://www.l4d.or.kr 
403,서울,서울 광진자양한강도서관,서울특별시 광진구 뚝섬로 52길 74 ,시행중 , 
402,서울,서울 은평구립은뜨락도서관,서울특별시 은평구 통일로 972 ,시행중 ,http:www.edlib.or.kr 
401,서울,서울 서초구립양재도서관,서울특별시 서초구 양재천로33 ,시행중 ,http:yangjae.seocholib.or.kr 
400,서울,서울 쌍문채움도서관,서울특별시 도봉구 우이천로 340 ,시행중 , 
399,서울,서울 강북청소년문화정보도서관,서울특별시 강북구 삼양로54길 68 (미아동) ,시행중 ,https://www.gblib.or.kr 
